Common Name,Scientific Name,stateProvince,locality,decimalLatitude,decimalLongitude,Matched_Suburb,Matched_Postcode
Bermuda Grass,Cynodon dactylon,Victoria,Site1 Hattah-Kulkyne National Park lake system,-34.76023,142.35164,TORRITA,3490
Bermuda Grass,Cynodon dactylon,Victoria,T0211500 Centre about 2 km S of KARINGAL,-38.1575,145.15722,FRANKSTON HEIGHTS,3199
Bermuda Grass,Cynodon dactylon,Victoria,D0082700 Centre about 5 km SE of WARRA YADIN,-37.26083,143.0425,MOYSTON,3377
Bermuda Grass,Cynodon dactylon,Victoria,"30 Girvan Place, South Morang Private property of approximately 1.3 hectares located at 30 Girvan Place, South Morang.",-37.62712,145.07912,SOUTH MORANG,3752
Bermuda Grass,Cynodon dactylon,Victoria,"Somers Trail (east) off Purches St, Mitcham",-37.82387,145.20802,MITCHAM NORTH,3132
Bermuda Grass,Cynodon dactylon,Victoria,N0216200 Centre about 2 km N of SEAFORD,-38.09,145.13528,SEAFORD,3198
Bermuda Grass,Cynodon dactylon,Victoria,T2481400 Centre about 1 km SSE of KEILOR EAST,-37.75139,144.86806,AVONDALE HEIGHTS,3034
Bermuda Grass,Cynodon dactylon,Victoria,T2492800 Centre about 2 km NNE of WYNDHAM VALE,-37.87556,144.63778,WERRIBEE SOUTH,3030
Bermuda Grass,Cynodon dactylon,Victoria,"NE7 Located approximately 5 km east of Wodonga, about 400 m north of the end of Bakers Lane, within Huon Hill Reserve.",-36.12183,146.95204,BANDIANA,3691
Bermuda Grass,Cynodon dactylon,Victoria,Boorcan Boorcan,-38.2135,143.0393,TAROON,3265
Bermuda Grass,Cynodon dactylon,Victoria,"The Heart Morass DC5 Wet Trust property, The Heart Morass, SE of Sale",-38.1423,147.10287,EAST SALE RAAF,3852
Bermuda Grass,Cynodon dactylon,Victoria,T3341900 Centre about 6 km ESE of LICOLA,-37.64861,146.68472,WORROWING,3858
Bermuda Grass,Cynodon dactylon,Victoria,T0604200 Centre about 2 km SE of LANGWARRIN,-38.16361,145.20139,LANGWARRIN,3910
Bermuda Grass,Cynodon dactylon,Victoria,CRESSY (582553) 9212 m from Cressy 242 deg,-37.9938,143.7293,CRESSY,3322
Bermuda Grass,Cynodon dactylon,Victoria,SHEANS CREEK (585154) 3057 m from Sheans Creek 206 deg,-36.76729,145.64665,RUFFY,3666
Bermuda Grass,Cynodon dactylon,Victoria,S0306500 Centre about 2 km SE of FERNIHURST,-36.26056,143.88861,DURHAM OX,3576
Bermuda Grass,Cynodon dactylon,Victoria,T2478700 Centre about 1 km E of YARRA GLEN,-37.65972,145.38667,YARRA GLEN,3775
Bermuda Grass,Cynodon dactylon,Victoria,MAUDE (581801) 1238 m from Maude 109 deg,-37.9495,144.15472,LETHBRIDGE,3332
Bermuda Grass,Cynodon dactylon,Victoria,"Raes Road Grassland Reserve, Sunbury Raes Road Grassland Reserve, Sunbury, part of Hume Conservation Reserves Monitoring",-37.55347,144.75219,WILDWOOD,3429
